"","Symbol","Name","LastSale","MarketCap","Sector","industry"
"3400","MRVL","Marvell Technology Group Ltd.","20.03","$13.17B","Technology","Semiconductors"
"3401","MASI","Masimo Corporation","134.45","$7.13B","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"3402","MCFT","MasterCraft Boat Holdings, Inc.","24.55","$459.77M","Capital Goods","Marine Transportation"
"3403","MTCH","Match Group, Inc.","55.6","$15.48B","Technology","Computer Software: Programming, Data Processing"
"3404","MTLS","Materialise NV","18.89","$950.65M","Technology","Computer Software: Prepackaged Software"
"3405","MTRX","Matrix Service Company","20.92","$560.33M","Basic Industries","Engineering & Construction"
"3406","MAT","Mattel, Inc.","14.89","$5.14B","Consumer Non-Durables","Recreational Products/Toys"
"3407","MATW","Matthews International Corporation","39.98","$1.27B","Capital Goods","Metal Fabrications"
"3408","MXIM","Maxim Integrated Products, Inc.","55.05","$15.05B","Technology","Semiconductors"
"3409","MXWL","Maxwell Technologies, Inc.","4.72","$217.16M","Miscellaneous","Industrial Machinery/Components"
"3410","MBFI","MB Financial Inc.","45.47","$3.83B","Finance","Major Banks"
"3411","MGRC","McGrath RentCorp","59.65","$1.44B","Technology","Diversified Commercial Services"
"3412","MDCA","MDC Partners Inc.","3.39","$169.28M","Technology","Advertising"
"3413","MDJH","MDJM LTD","4.1","$49.12M","Finance","Real Estate"
"3414","MDRR","Medalist Diversified REIT, Inc.","7.2","$17.62M","Consumer Services","Real Estate Investment Trusts"
"3415","MFIN","Medallion Financial Corp.","6.98","$170.59M","Finance","Finance: Consumer Services"
"3416","MNOV","MediciNova, Inc.","9.2","$387.98M","Health Care","Major Pharmaceuticals"
"3417","MDSO","Medidata Solutions, Inc.","76.25","$4.68B","Technology","Computer Software: Prepackaged Software"
"3418","MDGS","Medigus Ltd.","2.85","$10.82M","Health Care","Medical/Dental Instruments"
"3419","MDWD","MediWound Ltd.","5.16","$140.24M","Consumer Durables","Specialty Chemicals"
"3420","MEDP","Medpace Holdings, Inc.","54.74","$1.95B","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"3421","MEIP","MEI Pharma, Inc.","3.01","$214.16M","Health Care","Major Pharmaceuticals"
"3422","MGTX","MeiraGTx Holdings plc","16.65","$455.99M","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"3423","MLCO","Melco Resorts & Entertainment Limited","23.1","$11.31B","Consumer Services","Hotels/Resorts"
"3424","MLNT","Melinta Therapeutics, Inc.","5.3","$59.43M","Health Care","Major Pharmaceuticals"
"3425","MLNX","Mellanox Technologies, Ltd.","109.75","$5.95B","Technology","Semiconductors"
"3426","MELR","Melrose Bancorp, Inc.","19.45","$50.05M","Finance","Major Banks"
"3427","MNLO","Menlo Therapeutics Inc.","8.48","$197.01M","Health Care","Major Pharmaceuticals"
"3428","MTSL","MER Telemanagement Solutions Ltd.","1.75","$5.77M","Public Utilities","Telecommunications Equipment"
"3429","MELI","MercadoLibre, Inc.","451.64","$20.42B","Miscellaneous","Business Services"
"3430","AMTB","Mercantil Bank Holding Corporation","15.61","$674.09M","Finance","Major Banks"
"3431","MBWM","Mercantile Bank Corporation","34.85","$576.22M","Finance","Major Banks"
"3432","MERC","Mercer International Inc.","14.28","$931.08M","Basic Industries","Paper"
"3433","MBIN","Merchants Bancorp","20.54","$589.38M","Finance","Major Banks"
"3434","MRCY","Mercury Systems Inc","64.71","$3.14B","Capital Goods","Electrical Products"
"3435","EBSB","Meridian Bancorp, Inc.","16.37","$876.47M","Finance","Major Banks"
"3436","VIVO","Meridian Bioscience Inc.","17.03","$723.59M","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
